X,Y
10,33
63,81
89,64
49,35
39,54
27,94
32,72
28,33
89,29
74,5
46,80
51,55
30,96
27,17
96,95
99,76
93,83
34,67
89,73
78,98
11,27
17,18
30,100
64,39
27,34
39,22
62,76
88,95
12,5
74,55
23,43
63,87
56,30
84,66
63,15
74,11
62,49
86,14
22,2
96,66
60,29
43,37
84,33
64,52
74,78
41,34
39,83
43,96
84,28
81,30
66,85
23,19
68,97
78,69
34,62
57,80
56,1
18,3
78,33
17,50
99,7
98,47
21,46
69,43
79,79
89,59
81,92
94,77
55,13
85,70
19,74
40,32
12,66
14,64
71,76
96,45
11,23
70,79
72,24
80,29
49,38
11,56
58,36
85,31
62,40
14,85
46,74
61,40
82,99
70,62
67,75
98,15
81,2
94,44
44,65
21,10
55,1
7,65
76,7
44,38
